Exported Users from ✠ 𝐓ʜᴇ 𝐂ʀᴜꜱᴀᴅᴇʀ 𝐅ᴏʀᴄᴇꜱ ✠
ID | Username | Server Nickname
--------------------------------
1116854003188371559 | justanchillmate#0 | None
1084241682519826442 | southparkvault#0 | None
751460307419004939 | mydlo7#0 | None
1395042378724937778 | rez.lol#0 | None
802356826590019594 | lexsevent2#0 | None
671528921736675404 | 2fingers0337#0 | None
1202069148616884367 | avonace#0 | None
1316917741638389840 | aranetcoalition#0 | None
1398602529297924136 | roach1480916#0 | None
921763948993331221 | astral88_#0 | None
869180857028587530 | albertthearmenian#0 | None
1202712990244409434 | subject778#0 | None
1243958582509174894 | bequietg_#0 | None
1216211997616640062 | berlingutestadt#0 | None
1367933910310457404 | birbthekillaaa32#0 | None
835901946459979796 | vesterio7#0 | None
1191539640910495845 | painkiller42_5#0 | None
1377423948592975942 | crimzfr1m#0 | None
1373670438856691743 | sigmasilly505_99195#0 | None
716180194456502313 | yourboy_wes#0 | None
1402520565813612695 | digidabu11#0 | None
1401233641912406078 | jeffreyepstein.69#0 | None
789564217451348009 | bandtio#0 | Duckboy
1255703489825214495 | nuhuh6164#0 | None
1303392766906077286 | still_display_name_15819#0 | None
1385813595815804999 | fentcathatesalts#0 | None
1232770647533424723 | spooder9583.#0 | None
1049680324201812069 | blahh_568#0 | None
1259161428087013396 | thegrimover#0 | None
1201760257731469363 | shingojiraa#0 | None
1043428708880494593 | fuckkhxlx#0 | None
1396991248564228197 | birbman.2#0 | None
1057019291347714179 | shellazazk#0 | None
1267975248137945149 | kartojames#0 | None
1134193333711937689 | ca0812#0 | None
1304121240453251124 | kingofchickens1#0 | None
936330117523865630 | yungpebble_#0 | None
1401389195662200943 | qq.xan#0 | None
1316872942671368232 | lookyiscool#0 | None
1397240155814891697 | independent_auttp_member#0 | None
1221491604037308488 | mkhiglazer#0 | None
1389823291862290575 | fancysuitgojo#0 | None
1400570351301300358 | 24kxcheese#0 | None
1399541224767230115 | 160.179.95.136#0 | None
1392496977652219996 | deepzeta#0 | None
1004617915854766121 | notme_1567#0 | None
1207875961555652649 | oden214#0 | None
925433934781743155 | extravagant.light#0 | None
1403324701660414044 | kckck0245#0 | None
1390783726518014104 | pingu_89#0 | None
1082280742891049011 | roberitus#0 | None
760995904832012360 | sartoa#0 | None
772864081803083816 | snake_1164#0 | None
1239992619753406465 | some_dude1234#0 | None
1138936761813311519 | zaeypher#0 | None
1300339084996251649 | taffiscool#0 | None
1379467735863398532 | tenacious_hummingbird_75266#0 | None
1380225398645850223 | ilovesushi0022#0 | None
1137297967133499483 | pekstonaltyk_20334#0 | None
1397705747869204592 | thegreenwillows#0 | None
1388949278868901918 | 2.abdulhamid0825#0 | None
1400543028455931988 | helel.777#0 | None
1221574314114023475 | j0llytok#0 | None
1299139725201899634 | armyboyjake#0 | None
1324536485143384110 | azerbaijan0281_02474#0 | None
1406829213847130222 | fantology1#0 | None
1401207575042723932 | ajshshsgahshdhdhshs#0 | None
1398042611075383477 | ash_loves25#0 | None
1261474695165902999 | scarhealer_#0 | None
1269742467272540197 | ghostofcor#0 | None
1396974795274321920 | ghostoftcf#0 | None
1397630424896766042 | ghostownsyall#0 | None
1332522279023939680 | vitorr.frezaa#0 | None
1405661027995095103 | deba.toes#0 | 𝐃𝐞𝐟𝐫𝐞𝐚𝐤𝐨𝐫𝟏𝟐ᴬⁿᵗⁱ⁻ᶜᵃʳˡ
1265240829661024391 | l3_33_cc_tonk#0 | None
1345073898852454433 | killerofsurvival#0 | None
1189059850236334082 | the_blaze.6#0 | None
